Name,Slug,Short Description,Tagline / Description,Long Description (About),Official Website URL,Logo URL,Primary Category,Category Slug,Primary Task(s),Key Features,Use Cases,Integrations,Supported Platforms,Pricing Model,Pricing Raw,Has API,API Docs URL,Is Open Source,GitHub Repository,Provider / Company,Provider Website,Release Date,Pros,Cons
Agent Development Kit for TypeScript - AiAgents.Directory,agent-development-kit-for-typescript,Agent Development Kit for TypeScript is a Developer,Agent Development Kit for TypeScript is a Developer Tools AI agent that agent Development Kit for TypeScript to create AI agents.,Agent Development Kit for TypeScript is a Developer Tools AI agent that agent Development Kit for TypeScript to create AI agents.,https://google.github.io/adk-docs/get-started/typescript/,https://aiagents.directory/media/agents/screenshots/agent-development-kit-for-typescript_1.png,Coding AI,coding-ai,Coding AI,"
• Command-line interface for running agents
• Create AI agents using TypeScript
• Integration with generative AI models
• Web interface for interactive testing","
• Building AI assistants
• Creating applications with natural language interaction
• Implementing function tools for specific tasks",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agent HR - AiAgents.Directory,agent-hr,Agent HR is a Task Automation AI agent,Agent HR is a Task Automation AI agent that agentHR revolutionizes HR operations with intelligent automation.,Agent HR is a Task Automation AI agent that agentHR revolutionizes HR operations with intelligent automation.,https://agenthr.ai/,https://aiagents.directory/media/agents/screenshots/agent-hr_1.png,Task Automation,task-automation,Task Automation,"
• 24/7 Support Agent
• AI Copilot
• Agentic Workflows
• Customizable Dashboards
• Data-Driven Decision Making
• Employee Self-Service Portal","
• Automated Video Interviews
• CV Analysis with Generative AI
• Objective Performance Evaluation",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AceRound AI - AiAgents.Directory,aceround-ai,AceRound AI is a General Assistant AI agent,"AceRound AI is a General Assistant AI agent that real-time AI interview partner providing feedback, suggestions, and coaching during interviews (Freemium).","AceRound AI is a General Assistant AI agent that real-time AI interview partner providing feedback, suggestions, and coaching during interviews (Freemium).",https://www.aceround.app/,https://aiagents.directory/media/agents/screenshots/aceround-ai_1.png,Image Generation,image-generation,Image Generation,"
• Context matching with your resume
• Mock interview sessions for practice
• Real-time feedback during interviews
• Smart answer suggestions
• Supports multiple languages","
• Confidence coaching
• Job interviews
• Mock interview preparation",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agentive - AiAgents.Directory,agentive,Agentive is a Digital Workers & Business Automation,Agentive is a Digital Workers & Business Automation AI agent that AI-powered audit copilot.,Agentive is a Digital Workers & Business Automation AI agent that AI-powered audit copilot.,https://www.goagentive.com/,https://aiagents.directory/media/agents/screenshots/agentive_1,Task Automation,task-automation,Task Automation,"
• AI prompts during client upload
• Automated document matching
• Detail testing","
• Client audits
• Document management for audit firms
• Substantive testing",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Acta Agent - AiAgents.Directory,acta-agent,Acta Agent is a Digital Workers AI agent,Acta Agent is a Digital Workers AI agent that acta Agents transform conversations into structured insights (Freemium).,Acta Agent is a Digital Workers AI agent that acta Agents transform conversations into structured insights (Freemium).,https://acta.ai,https://aiagents.directory/media/agents/screenshots/acta-agent_1.png,Task Automation,task-automation,Task Automation,"
• Automated meeting summaries and action points
• Chrome Extension for browsers
• Customizable deliverables for different roles
• Mobile Apps for iOS & Android
• Persona-based AI notetaker
• Seamless integration with Jira, Notion, and other tools","
• Action item generation
• Business reviews
• Meeting summaries
• Performance reviews
• Sales discovery",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
AgentGPT - AiAgents.Directory,agentgpt,AgentGPT is a Open Source & AI Agent,"AgentGPT is a Open Source & AI Agent Framework AI agent that a browser-based implementation of AutoGPT, accessible via a no-code platform.","AgentGPT is a Open Source & AI Agent Framework AI agent that a browser-based implementation of AutoGPT, accessible via a no-code platform.",https://agentgpt.reworkd.ai,https://aiagents.directory/media/agents/screenshots/agentgpt_1,Coding AI,coding-ai,Coding AI,"
• Configure and deploy Autonomous AI agents
• Customizable agent names and goals
• Task execution and learning from results
• Web scraping capabilities","
• Creating comprehensive reports
• Developing study plans
• Planning detailed trips",,Web Browser,FREE,Free plan available,FALSE,,TRUE,,,,,,
AI Agent - AiAgents.Directory,ai-agent,AI Agent is a Task Automation AI agent,AI Agent is a Task Automation AI agent that empower productivity with customizable AI agents that automate tasks effortlessly.,AI Agent is a Task Automation AI agent that empower productivity with customizable AI agents that automate tasks effortlessly.,https://aiagent.app,https://aiagents.directory/media/agents/screenshots/ai-agent_1.png,Task Automation,task-automation,Task Automation,"
• Automation of repetitive tasks
• Customizable AI agents
• Insight reporting
• Integration with existing tools
• Real-time collaboration","
• Content generation
• Customer support
• Data analysis
• Marketing automation
• Sales prospecting",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Abridge - AiAgents.Directory,abridge,Abridge is a Healthcare AI agent that enterprise-grade,"Abridge is a Healthcare AI agent that enterprise-grade AI for clinical conversations, transforming patient-clinician interactions into billable notes.","Abridge is a Healthcare AI agent that enterprise-grade AI for clinical conversations, transforming patient-clinician interactions into billable notes.",http://abridge.com,https://aiagents.directory/media/agents/screenshots/abridge_1.png,Task Automation,task-automation,Task Automation,"
• Improves clinician efficiency and reduces cognitive load
• Integrates into existing healthcare workflows
• Provides real-time documentation at the point of care
• Supports multilingual interactions
• Transforms patient-clinician conversations into clinical notes","
• Clinical documentation
• Healthcare AI integration
• Nursing documentation improvement
• Provider-patient interaction enhancement
• Revenue cycle management in healthcare",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agent RAI - AiAgents.Directory,agent-rai,Agent RAI is a AI Agent Framework AI,"Agent RAI is a AI Agent Framework AI agent that agent RAI provides reasoning-driven AI automation for enterprises, enhancing decision-making and operational...","Agent RAI is a AI Agent Framework AI agent that agent RAI provides reasoning-driven AI automation for enterprises, enhancing decision-making and operational...",https://www.nexastack.ai/ai-agents/agentrai/,https://aiagents.directory/media/agents/screenshots/agent-rai_1.png,Task Automation,task-automation,Task Automation,"
• Adaptive, context-aware AI agents
• Advanced reasoning for decision support
• Autonomous decision-making capabilities
• Customization for industry-specific workflows
• Deployment in edge, on-prem, and private cloud environments
• End-to-end observability of agent actions","
• Automating decision-making processes
• Enhancing operational intelligence in various industries
• Improving compliance in financial systems
• Integrating AI into existing workflows
• Streamlining production workflows in manufacturing",,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agent4Rec - AiAgents.Directory,agent4rec,Agent4Rec is a Open Source & Research Labs,"Agent4Rec is a Open Source & Research Labs AI agent that agent4Rec is a recommender system simulator that utilizes 1,000 LLM-empowered generative agents....","Agent4Rec is a Open Source & Research Labs AI agent that agent4Rec is a recommender system simulator that utilizes 1,000 LLM-empowered generative agents....",https://AiAgents.Directory/agent4rec/,https://aiagents.directory/media/agents/screenshots/agent4rec_1,Task Automation,task-automation,Task Automation,"
• Allows for customizable simulation settings
• Records interaction history of agents
• Simulates 1,000 LLM-empowered generative agents
• Supports various recommendation algorithms (Random, Pop, MF, MultVAE, LightGCN)
• Utilizes the MovieLens-1M dataset","
• Exploring user behavior modeling in recommender systems
• Research on generative agents in recommendation contexts
• Simulating user interactions in recommendation systems
• Testing and evaluating recommendation algorithms",,Web Browser,FREE,Free plan available,FALSE,,TRUE,https://github.com/LehengTHU/Agent4Rec,,,,,
