Name,Slug,Short Description,Tagline / Description,Long Description (About),Official Website URL,Logo URL,Primary Category,Category Slug,Primary Task(s),Key Features,Use Cases,Integrations,Supported Platforms,Pricing Model,Pricing Raw,Has API,API Docs URL,Is Open Source,GitHub Repository,Provider / Company,Provider Website,Release Date,Pros,Cons
Ace Waves,ace-waves,AI agent for ai agent,AI agent for ai agent,Ace Waves is a Customer Support AI agent that AI agents that automate customer support and enhance user satisfaction.,https://acewaves.com/,,AI Agent,ai-agent,AI Agent; Customer Support,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agent Development Kit For Typescript,agent-development-kit-for-typescript,AI agent for ai agent,AI agent for ai agent,Agent Development Kit for TypeScript is a Developer Tools AI agent that agent Development Kit for TypeScript to create AI agents.,https://google.github.io/adk-docs/get-started/typescript/,,AI Agent,ai-agent,AI Agent; Code Generation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agentforge,agentforge,AI agent for ai agent,AI agent for ai agent,"AgentForge is a Open Source & AI Agent Framework AI agent that a low-code framework designed for the swift creation, testing, and iteration of AI-powered...",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent; Code Generation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/DataBassGit/AgentForge,,,,,
Agentgpt,agentgpt,AI agent for ai agent,AI agent for ai agent,"AgentGPT is a Open Source & AI Agent Framework AI agent that a browser-based implementation of AutoGPT, accessible via a no-code platform.",https://agentgpt.reworkd.ai,,AI Agent,ai-agent,AI Agent; Code Generation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,,,,,,
Ai Agent,ai-agent,AI agent for ai agent,AI agent for ai agent,AI Agent is a Task Automation AI agent that empower productivity with customizable AI agents that automate tasks effortlessly.,https://aiagent.app,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agent Development Kit Adk,agent-development-kit-adk,AI agent for ai agent,AI agent for ai agent,Agent Development Kit (ADK) is a Developer Tools AI agent that a flexible and modular framework for developing and deploying AI agents.,https://google.github.io/adk-docs/,,AI Agent,ai-agent,AI Agent; Code Generation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Aceround Ai,aceround-ai,AI agent for ai agent,AI agent for ai agent,"AceRound AI is a General Assistant AI agent that real-time AI interview partner providing feedback, suggestions, and coaching during interviews (Freemium).",https://www.aceround.app/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Agentverse,agentverse,AI agent for ai agent,AI agent for ai agent,"AgentVerse is a Open Source AI agent that a platform designed for deploying multiple LLM-based agents in various applications, focusing on task-solving and...",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/OpenBMB/AgentVerse,,,,,
Agemo,agemo,AI agent for ai agent,AI agent for ai agent,Agemo is a Developer Tools & AI Agent Framework AI agent that input your problem in human terms and receive a completed software system in minutes.,https://agemo.ai/,,AI Agent,ai-agent,AI Agent; Code Generation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Aiagents.Directory,AiAgents.Directory,AI agent for ai agent,AI agent for ai agent,"Explore the leading AI agent directory and marketplace. Discover AI tools, platforms, and agents to automate your workflows and boost productivity. Your go-to resource for AI solutions.",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Adept,adept,AI agent for ai agent,AI agent for ai agent,Adept is a Research Labs & Business Automation AI agent that a new way to use computers.,https://www.adept.ai/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Ability Ai,ability-ai,AI agent for ai agent,AI agent for ai agent,"Ability AI is a Marketing AI agent that empowering Businesses with Secure, People-Centric Autonomous AI Agents.",https://ability.ai/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agents,agents,AI agent for ai agent,AI agent for ai agent,Discover and explore the best AI agents and tools. AiAgents.Directory is your comprehensive resource for finding the perfect AI agents.,https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agentforce,agentforce,AI agent for ai agent,AI agent for ai agent,"Agentforce is a Business Automation AI agent that agentforce is a proactive, autonomous AI application that enhances productivity across various industries...",https://www.salesforce.com/agentforce/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agentscale,agentscale,AI agent for ai agent,AI agent for ai agent,"AgentScale is a Business Automation AI agent that agentScale is your very own personal assistant, email writer, calendar scheduler, and internet surfer.",https://agentscale.ai/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agent4Rec,agent4rec,AI agent for ai agent,AI agent for ai agent,"Agent4Rec is a Open Source & Research Labs AI agent that agent4Rec is a recommender system simulator that utilizes 1,000 LLM-empowered generative agents....",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/LehengTHU/Agent4Rec,,,,,
Today,today,AI agent for ai agent,AI agent for ai agent,"20 AI agent news articles from today. Latest updates on autonomous AI, AI startups, and automation tools.",https://itbrief.asia/story/automaid-launches-ai-hub-for-agents-that-keep-working,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
This Week,this-week,AI agent for ai agent,AI agent for ai agent,"147 AI agent news articles from this week. Updates on AI agents, startups, funding, and industry news.",https://www.wsj.com/business/entrepreneurship/burned-out-and-unemployed-young-people-in-china-are-launching-ai-startups-c5ebcdc3,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
A2Ui,a2ui,AI agent for ai agent,AI agent for ai agent,A2UI is a AI Agent Framework AI agent that a2UI is a protocol enabling AI agents to create interactive UIs across multiple platforms without risky code...,https://a2ui.org/,,AI Agent,ai-agent,AI Agent; Code Generation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Abridge,abridge,AI agent for ai agent,AI agent for ai agent,"Abridge is a Healthcare AI agent that enterprise-grade AI for clinical conversations, transforming patient-clinician interactions into billable notes.",http://abridge.com,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Adala,adala,AI agent for ai agent,AI agent for ai agent,Adala is a Open Source AI agent that autonomous Data (Labeling) Agent framework.,https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/HumanSignal/Adala,,,,,
Accrete Ai,accrete-ai,AI agent for ai agent,AI agent for ai agent,Accrete AI is a Business Automation AI agent that accrete's Expert AI Agents transform enterprises by automating decisions with tacit knowledge.,https://www.accrete.ai/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agent Rai,agent-rai,AI agent for ai agent,AI agent for ai agent,"Agent RAI is a AI Agent Framework AI agent that agent RAI provides reasoning-driven AI automation for enterprises, enhancing decision-making and operational...",https://www.nexastack.ai/ai-agents/agentrai/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agentpilot,agentpilot,AI agent for ai agent,AI agent for ai agent,"AgentPilot is a Open Source & Task Automation AI agent that a cross-platform desktop app to create, manage, and chat with AI agents.",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent; Task Automation; Customer Support,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/jbexta/AgentPilot,,,,,
Acta Agent,acta-agent,AI agent for ai agent,AI agent for ai agent,Acta Agent is a Digital Workers AI agent that acta Agents transform conversations into structured insights (Freemium).,https://acta.ai,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
8Flow,8flow,AI agent for ai agent,AI agent for ai agent,8Flow is a Business Automation AI agent that 8Flow.ai – Enterprise Workflow Mapping for AI Agents.,https://8flow.ai/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agentive,agentive,AI agent for ai agent,AI agent for ai agent,Agentive is a Digital Workers & Business Automation AI agent that AI-powered audit copilot.,https://www.goagentive.com/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Agent Hr,agent-hr,AI agent for ai agent,AI agent for ai agent,Agent HR is a Task Automation AI agent that agentHR revolutionizes HR operations with intelligent automation.,https://agenthr.ai/,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
This Month,this-month,AI agent for ai agent,AI agent for ai agent,"684 AI agent news articles from this month. Coverage of AI agents, autonomous AI, and automation trends.",https://www.wsj.com/business/entrepreneurship/burned-out-and-unemployed-young-people-in-china-are-launching-ai-startups-c5ebcdc3,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Ai Agents News,ai-agents-news,AI agent for ai agent,AI agent for ai agent,"Browse 5948 AI agent news articles. Latest updates on autonomous AI, AI startups, funding, and automation tools.",https://www.wsj.com/business/entrepreneurship/burned-out-and-unemployed-young-people-in-china-are-launching-ai-startups-c5ebcdc3,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Ai Browser,ai-browser,AI agent for ai agent,AI agent for ai agent,AI Browser is a Task Automation AI agent that AI Browser automates complex web tasks using advanced AI technology (Freemium).,https://aibrowser.surf,,AI Agent,ai-agent,AI Agent; Task Automation,,,,Web Browser,FREE,Free plan available,FALSE,,FALSE,,,,,,
Ai Modernization Toolkit,ai-modernization-toolkit,AI agent for ai agent,AI agent for ai agent,AI Modernization Toolkit is a Digital Workers AI agent that AI Modernization Toolkit for migrating and modernizing software efficiently.,https://softwaremind.com/migrate-and-modernize-code-with-ai-agents/,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,FALSE,,,,,,
Ai Legion,ai-legion,AI agent for ai agent,AI agent for ai agent,"AI Legion is a Open Source AI agent that a platform for agents to work together, similar in spirit to AutoGPT and Baby AGI, but written in TypeScript.",https://cal.com/tinyai.tools/20min,,AI Agent,ai-agent,AI Agent,,,,Web Browser,FREEMIUM,Free plan available,FALSE,,TRUE,https://github.com/eumemic/ai-legion,,,,,
